Client Name,Fulfillment Location Name,Fulfillment Location City,Gate Entry ID,ASN ID,ASN Code,ASN Approved Quantity,GRN Date,GRN Start Time,Gate Entry Closed Time,Vendor Invoice No,Vendor Invoice Date,PO No,Parent Order ID,PO Date,Order Type,Vendor Name,Vendor City,Global SKU ID,Client SKU ID / EAN,SKU Desc,Brand,Category,Style,Size,Color,MRP,Recieved Qty,Pass Qty,Fail Qty,LR No,Vehicle No,HSN Code,Vendor Tin,Base Price,Received Value,IGST Rate,CGST Rate,SGST Rate,IGST Amount per Unit,CGST Amount per Unit,SGST Amount per Unit,Is Part of UOM
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1215297610,MSOR226LTGXLR,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,XLR,LTG,519.0,96,96,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,17438.4,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1215297609,MSOR226LTGMED,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,MED,LTG,519.0,51,51,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,9264.15,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1215297608,MSOR226LTGLAR,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,LAR,LTG,519.0,74,74,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,13442.1,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1215297607,MSOR226LTG2XL,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,2XL,LTG,519.0,37,37,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,6721.05,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1178064171,MSOR226BLKXLR,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,XLR,BLK,519.0,188,188,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,34150.200000000004,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1178064170,MSOR226BLKMED,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,MED,BLK,519.0,108,108,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,19618.2,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1178064169,MSOR226BLKLAR,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,LAR,BLK,519.0,144,144,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,26157.600000000002,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5704,,,,2026-01-05,2026-01-05 11:48:26.266000,,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,HOWH2/INT/00624(OR226/2) MRP.519,HOWH2/INT/00624(OR226/2) MRP.519,2026-01-05,PURCHASE,TSPL,TIRUPUR,1178064168,MSOR226BLK2XL,OR226 Mens Solid Shorts,TECHNOSPORT,Shorts,OR226,2XL,BLK,519.0,72,72,0,N/A,N/A,61034300,33AAFCT5162N1Z1,181.65,13078.800000000001,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5758,,,,2026-01-10,2026-01-05 16:09:11.844000,,HOWH2/INT/00631(OR89/22) MRP. 725,2026-01-05,HOWH2/INT/00631(OR89/22) MRP. 725,HOWH2/INT/00631(OR89/22) MRP. 725,2026-01-05,PURCHASE,TSPL,TIRUPUR,1214007354,MPOR89SKOXLR,OR89 Mens Solid Trackpant,TECHNOSPORT,Trackpants,OR89,XLR,SKO,725.0,8,8,0,N/A,N/A,61034300,33AAFCT5162N1Z1,253.75,2030.0,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,5758,,,,2026-01-05,2026-01-05 16:09:11.844000,,HOWH2/INT/00631(OR89/22) MRP. 725,2026-01-05,HOWH2/INT/00631(OR89/22) MRP. 725,HOWH2/INT/00631(OR89/22) MRP. 725,2026-01-05,PURCHASE,TSPL,TIRUPUR,1214007354,MPOR89SKOXLR,OR89 Mens Solid Trackpant,TECHNOSPORT,Trackpants,OR89,XLR,SKO,725.0,104,104,0,N/A,N/A,61034300,33AAFCT5162N1Z1,253.75,26390.0,,,,,,,False
