Client ID,Client Name,Fulfillment Location  ID,Fulfillment Location Name,Location Type,Primary Fulfillment Location  ID,Primary Fulfillment Location Name,Increff SKU Id,Client SKU Id / EAN,Bundled SKU,UOM SKU,Each Global SKU ID,Each Client SKU ID,Each Qty,SKU Description,Style,Color,Size,MRP,Brand,Category,Reservation Pool,Inventory QC Status,Total Quantity,Total GRN Quantity,Total Allocated Quantity,Total Recycle + Offline Quantity,Total Lost Quantity,Total Rejected Quantity,Total Available Quantity,Total Permanently Lost Quantity,Total Expired Quantity,Total Each Reserved Quantity,Total Bulk Break Quantity,Total Fulfilled Quantity
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1196758971,WPW133NBMSML,FALSE,0,1196758971,WPW133NBMSML,1,W133 Womens Cubic Melange Trackpant,W133,NBM,SML,599.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1196758983,WPW133UGM2XL,FALSE,0,1196758983,WPW133UGM2XL,1,W133 Womens Cubic Melange Trackpant,W133,UGM,2XL,599.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,1
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1196786634,WTW105MYE2XL,FALSE,0,1196786634,WTW105MYE2XL,1,W105 Womens Solid Round Neck H/S T-shirt,W105,MYE,2XL,339.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146063,MTOR47BMM2XL,FALSE,0,1198146063,MTOR47BMM2XL,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,BMM,2XL,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146066,MTOR47BMMSML,FALSE,0,1198146066,MTOR47BMMSML,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,BMM,SML,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146069,MTOR47GRMLAR,FALSE,0,1198146069,MTOR47GRMLAR,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,GRM,LAR,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146079,MTOR47NBMLAR,FALSE,0,1198146079,MTOR47NBMLAR,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,NBM,LAR,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146081,MTOR47NBMSML,FALSE,0,1198146081,MTOR47NBMSML,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,NBM,SML,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146084,MTOR47OBMLAR,FALSE,0,1198146084,MTOR47OBMLAR,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,OBM,LAR,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146086,MTOR47OBMSML,FALSE,0,1198146086,MTOR47OBMSML,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,OBM,SML,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,20
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146088,MTOR47SYM2XL,FALSE,0,1198146088,MTOR47SYM2XL,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,SYM,2XL,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198146097,MTOR47WDMXLR,FALSE,0,1198146097,MTOR47WDMXLR,1,OR47 Mens Melange Round Neck F/S T-shirt,OR47,WDM,XLR,449.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198167065,MSP897BLK2XL,FALSE,0,1198167065,MSP897BLK2XL,1,P897 Mens Basic Shorts,P897,BLK,2XL,519.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,1,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198167066,MSP897BLKLAR,FALSE,0,1198167066,MSP897BLKLAR,1,P897 Mens Basic Shorts,P897,BLK,LAR,519.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198167071,MSP897NYBMED,FALSE,0,1198167071,MSP897NYBMED,1,P897 Mens Basic Shorts,P897,NYB,MED,519.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198167078,MSP897TRNLAR,FALSE,0,1198167078,MSP897TRNLAR,1,P897 Mens Basic Shorts,P897,TRN,LAR,519.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198466828,WTW150DPK2XL002,FALSE,0,1198466828,WTW150DPK2XL002,1,W150 Womens Jacquard Round Neck H/S T-shirt,W150,DPK,2XL,429.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,1,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198466830,WTW150DPKMED002,FALSE,0,1198466830,WTW150DPKMED002,1,W150 Womens Jacquard Round Neck H/S T-shirt,W150,DPK,MED,429.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198466832,WTW150DPKXLR002,FALSE,0,1198466832,WTW150DPKXLR002,1,W150 Womens Jacquard Round Neck H/S T-shirt,W150,DPK,XLR,429.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198466834,WTW150KHI2XL002,FALSE,0,1198466834,WTW150KHI2XL002,1,W150 Womens Jacquard Round Neck H/S T-shirt,W150,KHI,2XL,429.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198466845,WTW150WLG2XL002,FALSE,0,1198466845,WTW150WLG2XL002,1,W150 Womens Jacquard Round Neck H/S T-shirt,W150,WLG,2XL,429.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198473391,WTWM15HTRMED,FALSE,0,1198473391,WTWM15HTRMED,1,WM15 Womens Basic Crewneck Sweatshirt F/S,WM15,HTR,MED,639.0,TECHNOSPORT,Sweatshirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198473399,WTWM15TRN2XL,FALSE,0,1198473399,WTWM15TRN2XL,1,WM15 Womens Basic Crewneck Sweatshirt F/S,WM15,TRN,2XL,639.0,TECHNOSPORT,Sweatshirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198473403,WTWM15TRNXLR,FALSE,0,1198473403,WTWM15TRNXLR,1,WM15 Womens Basic Crewneck Sweatshirt F/S,WM15,TRN,XLR,639.0,TECHNOSPORT,Sweatshirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198852336,MPP590BTGXLR,FALSE,0,1198852336,MPP590BTGXLR,1,P590 Mens Solid Trackpant,P590,BTG,XLR,699.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198852337,MPP590SKO2XL,FALSE,0,1198852337,MPP590SKO2XL,1,P590 Mens Solid Trackpant,P590,SKO,2XL,699.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198852345,MPP590VIO2XL,FALSE,0,1198852345,MPP590VIO2XL,1,P590 Mens Solid Trackpant,P590,VIO,2XL,699.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198852347,MPP590VIOMED,FALSE,0,1198852347,MPP590VIOMED,1,P590 Mens Solid Trackpant,P590,VIO,MED,699.0,TECHNOSPORT,Trackpants,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198863193,WJWM16UGY2XL,FALSE,0,1198863193,WJWM16UGY2XL,1,WM16 Womens Basic Hoodie Jacket F/S,WM16,UGY,2XL,869.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198863353,WJWM16WLG2XL,FALSE,0,1198863353,WJWM16WLG2XL,1,WM16 Womens Basic Hoodie Jacket F/S,WM16,WLG,2XL,869.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198901227,MSOR206NYBMED,FALSE,0,1198901227,MSOR206NYBMED,1,OR206 Mens Solid Shorts,OR206,NYB,MED,549.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1198901228,MSOR206NYBLAR,FALSE,0,1198901228,MSOR206NYBLAR,1,OR206 Mens Solid Shorts,OR206,NYB,LAR,549.0,TECHNOSPORT,Shorts,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,1,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199166183,MJPM92CTS2XL005,FALSE,0,1199166183,MJPM92CTS2XL005,1,PM92 Mens Printed Mock Neck F/S Jacket,PM92,CTS,2XL,999.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199166185,MJPM92CTSMED005,FALSE,0,1199166185,MJPM92CTSMED005,1,PM92 Mens Printed Mock Neck F/S Jacket,PM92,CTS,MED,999.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199166198,MJPM92SSNXLR005,FALSE,0,1199166198,MJPM92SSNXLR005,1,PM92 Mens Printed Mock Neck F/S Jacket,PM92,SSN,XLR,999.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199166202,MJPM92SYPXLR005,FALSE,0,1199166202,MJPM92SYPXLR005,1,PM92 Mens Printed Mock Neck F/S Jacket,PM92,SYP,XLR,999.0,TECHNOSPORT,Jacket,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,0,0,0,0,0,1,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199826512,MTP759CNGLAR004,FALSE,0,1199826512,MTP759CNGLAR004,1,P759 Mens Self Design Round Neck H/S T-shirt,P759,CNG,LAR,399.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199826515,MTP759CNGXLR004,FALSE,0,1199826515,MTP759CNGXLR004,1,P759 Mens Self Design Round Neck H/S T-shirt,P759,CNG,XLR,399.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199826517,MTP759CTFLAR004,FALSE,0,1199826517,MTP759CTFLAR004,1,P759 Mens Self Design Round Neck H/S T-shirt,P759,CTF,LAR,399.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
1101203923,TECHNO SPORTSWEAR PRIVATE LIMITED,1101203890,wms_bagalur,PRIMARY,1101203890,wms_bagalur,1199826519,MTP759CTFSML004,FALSE,0,1199826519,MTP759CTFSML004,1,P759 Mens Self Design Round Neck H/S T-shirt,P759,CTF,SML,399.0,TECHNOSPORT,T-shirt,Common_Pool-TECHNO SPORTSWEAR PRIVATE LIMITED-wms_tiruppur,PASS,1,1,0,0,0,0,0,0,0,0,0,0
