GRN Date,Client SKU ID / EAN,Category,Style,Size,Color,MRP,Recieved Qty
06-08-2026,MTP920LTGSML419,T-SHIRT,P920,SML,LTG,419,10
06-08-2026,MTP920LTGMED419,T-SHIRT,P920,MED,LTG,419,38
06-08-2026,MTP920LTG2XL419,T-SHIRT,P920,2XL,LTG,419,13
06-08-2026,MTP920CFKSML419,T-SHIRT,P920,SML,CFK,419,10
06-08-2026,MTP920CFKMED419,T-SHIRT,P920,MED,CFK,419,37
06-08-2026,MTP920CFK2XL419,T-SHIRT,P920,2XL,CFK,419,13
06-08-2026,MTP911TRNXLR479,T-Shirt,P911,XLR,TRN,479,65
05-08-2026,MTP911TRNXLR479,T-Shirt,P911,XLR,TRN,479,3
06-08-2026,MTP911TRNMED479,T-Shirt,P911,MED,TRN,479,93
05-08-2026,MTP911TRNMED479,T-Shirt,P911,MED,TRN,479,18
06-08-2026,MTP911TRNLAR479,T-Shirt,P911,LAR,TRN,479,95
05-08-2026,MTP911TRNLAR479,T-Shirt,P911,LAR,TRN,479,6
06-08-2026,MTP911OGYXLR479,T-Shirt,P911,XLR,OGY,479,66
05-08-2026,MTP911OGYXLR479,T-Shirt,P911,XLR,OGY,479,3
06-08-2026,MTP911OGYMED479,T-Shirt,P911,MED,OGY,479,92
05-08-2026,MTP911OGYMED479,T-Shirt,P911,MED,OGY,479,18
06-08-2026,MTP911OGYLAR479,T-Shirt,P911,LAR,OGY,479,100
05-08-2026,MTP911OGYLAR479,T-Shirt,P911,LAR,OGY,479,9
06-08-2026,MTP911DPKXLR479,T-Shirt,P911,XLR,DPK,479,59
05-08-2026,MTP911DPKXLR479,T-Shirt,P911,XLR,DPK,479,3
06-08-2026,MTP911DPKMED479,T-Shirt,P911,MED,DPK,479,92
05-08-2026,MTP911DPKMED479,T-Shirt,P911,MED,DPK,479,18
06-08-2026,MTP911DPKLAR479,T-Shirt,P911,LAR,DPK,479,109
05-08-2026,MTP911DPKLAR479,T-Shirt,P911,LAR,DPK,479,8
06-08-2026,MTP911CFKXLR479,T-Shirt,P911,XLR,CFK,479,68
05-08-2026,MTP911CFKXLR479,T-Shirt,P911,XLR,CFK,479,3
06-08-2026,MTP911CFKMED479,T-Shirt,P911,MED,CFK,479,92
05-08-2026,MTP911CFKMED479,T-Shirt,P911,MED,CFK,479,18
06-08-2026,MTP911CFKLAR479,T-Shirt,P911,LAR,CFK,479,108
05-08-2026,MTP911CFKLAR479,T-Shirt,P911,LAR,CFK,479,9
06-08-2026,MTP911BLKXLR479,T-Shirt,P911,XLR,BLK,479,66
05-08-2026,MTP911BLKXLR479,T-Shirt,P911,XLR,BLK,479,3
06-08-2026,MTP911BLKMED479,T-Shirt,P911,MED,BLK,479,91
05-08-2026,MTP911BLKMED479,T-Shirt,P911,MED,BLK,479,18
06-08-2026,MTP911BLKLAR479,T-Shirt,P911,LAR,BLK,479,97
05-08-2026,MTP911BLKLAR479,T-Shirt,P911,LAR,BLK,479,10
06-08-2026,MTP911BLEXLR479,T-Shirt,P911,XLR,BLE,479,65
05-08-2026,MTP911BLEXLR479,T-Shirt,P911,XLR,BLE,479,3
06-08-2026,MTP911BLEMED479,T-Shirt,P911,MED,BLE,479,92
05-08-2026,MTP911BLEMED479,T-Shirt,P911,MED,BLE,479,18
06-08-2026,MTP911BLELAR479,T-Shirt,P911,LAR,BLE,479,101
05-08-2026,MTP911BLELAR479,T-Shirt,P911,LAR,BLE,479,9
05-08-2026,MTP853TELXLR469,T-SHIRT,P853,XLR,TEL,469,18
05-08-2026,MTP853TELSML469,T-SHIRT,P853,SML,TEL,469,18
05-08-2026,MTP853TELMED469,T-SHIRT,P853,MED,TEL,469,17
05-08-2026,MTP853TELLAR469,T-SHIRT,P853,LAR,TEL,469,15
05-08-2026,MTP853TEL2XL469,T-SHIRT,P853,2XL,TEL,469,16
05-08-2026,MTP853SKOXLR469,T-SHIRT,P853,XLR,SKO,469,17
05-08-2026,MTP853SKOSML469,T-SHIRT,P853,SML,SKO,469,18
05-08-2026,MTP853SKOMED469,T-SHIRT,P853,MED,SKO,469,18
05-08-2026,MTP853SKOLAR469,T-SHIRT,P853,LAR,SKO,469,15
05-08-2026,MTP853SKO2XL469,T-SHIRT,P853,2XL,SKO,469,16
05-08-2026,MTP853MNBXLR469,T-SHIRT,P853,XLR,MNB,469,17
05-08-2026,MTP853MNBSML469,T-SHIRT,P853,SML,MNB,469,18
05-08-2026,MTP853MNBMED469,T-SHIRT,P853,MED,MNB,469,16
05-08-2026,MTP853MNBLAR469,T-SHIRT,P853,LAR,MNB,469,17
05-08-2026,MTP853MNB2XL469,T-SHIRT,P853,2XL,MNB,469,16
05-08-2026,MTP853LTGXLR469,T-SHIRT,P853,XLR,LTG,469,17
05-08-2026,MTP853LTGSML469,T-SHIRT,P853,SML,LTG,469,18
05-08-2026,MTP853LTGMED469,T-SHIRT,P853,MED,LTG,469,18
05-08-2026,MTP853LTGLAR469,T-SHIRT,P853,LAR,LTG,469,15
05-08-2026,MTP853LTG2XL469,T-SHIRT,P853,2XL,LTG,469,16
05-08-2026,MTP853CFKXLR469,T-SHIRT,P853,XLR,CFK,469,17
05-08-2026,MTP853CFKSML469,T-SHIRT,P853,SML,CFK,469,18
05-08-2026,MTP853CFKMED469,T-SHIRT,P853,MED,CFK,469,18
05-08-2026,MTP853CFKLAR469,T-SHIRT,P853,LAR,CFK,469,15
05-08-2026,MTP853CFK2XL469,T-SHIRT,P853,2XL,CFK,469,16
05-08-2026,MTP853BLKXLR469,T-shirt,P853,XLR,BLK,469,17
05-08-2026,MTP853BLKSML469,T-shirt,P853,SML,BLK,469,18
05-08-2026,MTP853BLKMED469,T-shirt,P853,MED,BLK,469,18
05-08-2026,MTP853BLKLAR469,T-shirt,P853,LAR,BLK,469,15
05-08-2026,MTP853BLK2XL469,T-shirt,P853,2XL,BLK,469,16
06-08-2026,MTP824TELXLR006499,T-shirt,P824,XLR,TEL,499,3
05-08-2026,MTP824TELXLR006499,T-shirt,P824,XLR,TEL,499,37
06-08-2026,MTP824TELMED006499,T-shirt,P824,MED,TEL,499,10
05-08-2026,MTP824TELMED006499,T-shirt,P824,MED,TEL,499,26
06-08-2026,MTP824TELLAR006499,T-shirt,P824,LAR,TEL,499,19
05-08-2026,MTP824TELLAR006499,T-shirt,P824,LAR,TEL,499,17
06-08-2026,MTP824TEL2XL006499,T-shirt,P824,2XL,TEL,499,8
05-08-2026,MTP824TEL2XL006499,T-shirt,P824,2XL,TEL,499,5
06-08-2026,MTP824MNBXLR006499,T-shirt,P824,XLR,MNB,499,3
05-08-2026,MTP824MNBXLR006499,T-shirt,P824,XLR,MNB,499,31
06-08-2026,MTP824MNBMED006499,T-shirt,P824,MED,MNB,499,11
05-08-2026,MTP824MNBMED006499,T-shirt,P824,MED,MNB,499,26
06-08-2026,MTP824MNBLAR006499,T-shirt,P824,LAR,MNB,499,16
05-08-2026,MTP824MNBLAR006499,T-shirt,P824,LAR,MNB,499,18
06-08-2026,MTP824MNB2XL006499,T-shirt,P824,2XL,MNB,499,8
05-08-2026,MTP824MNB2XL006499,T-shirt,P824,2XL,MNB,499,5
06-08-2026,MTP824LTGXLR006499,T-shirt,P824,XLR,LTG,499,3
05-08-2026,MTP824LTGXLR006499,T-shirt,P824,XLR,LTG,499,38
06-08-2026,MTP824LTGMED006499,T-shirt,P824,MED,LTG,499,13
05-08-2026,MTP824LTGMED006499,T-shirt,P824,MED,LTG,499,32
06-08-2026,MTP824LTGLAR006499,T-shirt,P824,LAR,LTG,499,19
05-08-2026,MTP824LTGLAR006499,T-shirt,P824,LAR,LTG,499,21
06-08-2026,MTP824LTG2XL006499,T-shirt,P824,2XL,LTG,499,8
05-08-2026,MTP824LTG2XL006499,T-shirt,P824,2XL,LTG,499,5
06-08-2026,MTP824KHIXLR006499,T-shirt,P824,XLR,KHI,499,3
05-08-2026,MTP824KHIXLR006499,T-shirt,P824,XLR,KHI,499,28
06-08-2026,MTP824KHIMED006499,T-shirt,P824,MED,KHI,499,11
05-08-2026,MTP824KHIMED006499,T-shirt,P824,MED,KHI,499,26
06-08-2026,MTP824KHILAR006499,T-shirt,P824,LAR,KHI,499,18
05-08-2026,MTP824KHILAR006499,T-shirt,P824,LAR,KHI,499,20
06-08-2026,MTP824KHI2XL006499,T-shirt,P824,2XL,KHI,499,9
05-08-2026,MTP824KHI2XL006499,T-shirt,P824,2XL,KHI,499,5
06-08-2026,MTP824IRGXLR006499,T-shirt,P824,XLR,IRG,499,5
05-08-2026,MTP824IRGXLR006499,T-shirt,P824,XLR,IRG,499,32
06-08-2026,MTP824IRGMED006499,T-shirt,P824,MED,IRG,499,11
05-08-2026,MTP824IRGMED006499,T-shirt,P824,MED,IRG,499,24
06-08-2026,MTP824IRGLAR006499,T-shirt,P824,LAR,IRG,499,17
05-08-2026,MTP824IRGLAR006499,T-shirt,P824,LAR,IRG,499,20
06-08-2026,MTP824IRG2XL006499,T-shirt,P824,2XL,IRG,499,8
05-08-2026,MTP824IRG2XL006499,T-shirt,P824,2XL,IRG,499,5
06-08-2026,MTP824GVEXLR006499,T-shirt,P824,XLR,GVE,499,3
05-08-2026,MTP824GVEXLR006499,T-shirt,P824,XLR,GVE,499,34
06-08-2026,MTP824GVEMED006499,T-shirt,P824,MED,GVE,499,10
05-08-2026,MTP824GVEMED006499,T-shirt,P824,MED,GVE,499,23
06-08-2026,MTP824GVELAR006499,T-shirt,P824,LAR,GVE,499,17
05-08-2026,MTP824GVELAR006499,T-shirt,P824,LAR,GVE,499,17
06-08-2026,MTP824GVE2XL006499,T-shirt,P824,2XL,GVE,499,8
05-08-2026,MTP824GVE2XL006499,T-shirt,P824,2XL,GVE,499,5
05-08-2026,MTOR71WHT5XL579,T-SHIRT,OR71,5XL,WHT,579,28
06-08-2026,MTOR71WHT4XL579,T-SHIRT,OR71,4XL,WHT,579,47
05-08-2026,MTOR71WHT4XL579,T-SHIRT,OR71,4XL,WHT,579,20
05-08-2026,MTOR71WHT3XL579,T-shirt,OR71,3XL,WHT,579,65
05-08-2026,MTOR71UGY5XL579,T-SHIRT,OR71,5XL,UGY,579,30
06-08-2026,MTOR71UGY4XL579,T-SHIRT,OR71,4XL,UGY,579,15
05-08-2026,MTOR71UGY4XL579,T-SHIRT,OR71,4XL,UGY,579,35
05-08-2026,MTOR71TEL5XL579,T-SHIRT,OR71,5XL,TEL,579,42
06-08-2026,MTOR71TEL4XL579,T-SHIRT,OR71,4XL,TEL,579,47
05-08-2026,MTOR71TEL4XL579,T-SHIRT,OR71,4XL,TEL,579,20
05-08-2026,MTOR71TEL3XL579,T-SHIRT,OR71,3XL,TEL,579,65
05-08-2026,MTOR71SKO5XL579,T-SHIRT,OR71,5XL,SKO,579,30
06-08-2026,MTOR71SKO4XL579,T-SHIRT,OR71,4XL,SKO,579,15
05-08-2026,MTOR71SKO4XL579,T-SHIRT,OR71,4XL,SKO,579,35
05-08-2026,MTOR71OBR5XL579,T-SHIRT,OR71,5XL,OBR,579,70
06-08-2026,MTOR71OBR4XL579,T-SHIRT,OR71,4XL,OBR,579,62
05-08-2026,MTOR71OBR4XL579,T-SHIRT,OR71,4XL,OBR,579,55
05-08-2026,MTOR71OBR3XL579,T-SHIRT,OR71,3XL,OBR,579,65
05-08-2026,MTOR71NYB5XL579,T-SHIRT,OR71,5XL,NYB,579,44
06-08-2026,MTOR71NYB4XL579,T-SHIRT,OR71,4XL,NYB,579,47
05-08-2026,MTOR71NYB4XL579,T-SHIRT,OR71,4XL,NYB,579,20
05-08-2026,MTOR71NYB3XL579,T-SHIRT,OR71,3XL,NYB,579,65
05-08-2026,MTOR71MON5XL579,T-SHIRT,OR71,5XL,MON,579,44
06-08-2026,MTOR71MON4XL579,T-SHIRT,OR71,4XL,MON,579,47
05-08-2026,MTOR71MON4XL579,T-SHIRT,OR71,4XL,MON,579,20
05-08-2026,MTOR71MON3XL579,T-SHIRT,OR71,3XL,MON,579,65
05-08-2026,MTOR71IRG5XL579,T-SHIRT,OR71,5XL,IRG,579,30
06-08-2026,MTOR71IRG4XL579,T-SHIRT,OR71,4XL,IRG,579,15
05-08-2026,MTOR71IRG4XL579,T-SHIRT,OR71,4XL,IRG,579,35
05-08-2026,MTOR71BLK5XL579,T-shirt,OR71,5XL,BLK,579,72
06-08-2026,MTOR71BLK4XL579,T-shirt,OR71,4XL,BLK,579,62
05-08-2026,MTOR71BLK4XL579,T-shirt,OR71,4XL,BLK,579,55
05-08-2026,MTOR71BLK3XL579,T-shirt,OR71,3XL,BLK,579,64
05-08-2026,MTOR71BLE5XL579,T-SHIRT,OR71,5XL,BLE,579,30
06-08-2026,MTOR71BLE4XL579,T-SHIRT,OR71,4XL,BLE,579,15
05-08-2026,MTOR71BLE4XL579,T-SHIRT,OR71,4XL,BLE,579,35
05-08-2026,MTOR38WHTXLR005425,T-shirt,OR38,XLR,WHT,425,30
05-08-2026,MTOR38WHTSML005425,T-shirt,OR38,SML,WHT,425,6
05-08-2026,MTOR38WHTMED005425,T-shirt,OR38,MED,WHT,425,37
05-08-2026,MTOR38WHTLAR005425,T-shirt,OR38,LAR,WHT,425,37
05-08-2026,MTOR38VIOXLR005425,T-shirt,OR38,XLR,VIO,425,30
05-08-2026,MTOR38VIOSML005425,T-shirt,OR38,SML,VIO,425,7
06-08-2026,MTOR38VIOMED005425,T-shirt,OR38,MED,VIO,425,1
05-08-2026,MTOR38VIOMED005425,T-shirt,OR38,MED,VIO,425,36
05-08-2026,MTOR38VIOLAR005425,T-shirt,OR38,LAR,VIO,425,38
05-08-2026,MTOR38UGYXLR005425,T-shirt,OR38,XLR,UGY,425,30
05-08-2026,MTOR38UGYSML005425,T-shirt,OR38,SML,UGY,425,7
05-08-2026,MTOR38UGYMED005425,T-shirt,OR38,MED,UGY,425,37
05-08-2026,MTOR38UGYLAR005425,T-shirt,OR38,LAR,UGY,425,37
05-08-2026,MTOR38OLDXLR005425,T-shirt,OR38,XLR,OLD,425,28
05-08-2026,MTOR38OLDSML005425,T-shirt,OR38,SML,OLD,425,7
06-08-2026,MTOR38OLDMED005425,T-shirt,OR38,MED,OLD,425,2
05-08-2026,MTOR38OLDMED005425,T-shirt,OR38,MED,OLD,425,35
05-08-2026,MTOR38OLDLAR005425,T-shirt,OR38,LAR,OLD,425,37
05-08-2026,MTOR38CFKXLR005425,T-shirt,OR38,XLR,CFK,425,31
