GRN Date,Client SKU ID / EAN,Category,Style,Size,Color,MRP,Recieved Qty
02-08-2026,MTP702BLKMED599,T-shirt,P702,MED,BLK,599,25
02-08-2026,MTP702BLKLAR599,T-shirt,P702,LAR,BLK,599,25
02-08-2026,MTP702BLK2XL599,T-shirt,P702,2XL,BLK,599,24
02-08-2026,MTP701BLKXLR449,T-shirt,P701,XLR,BLK,449,40
02-08-2026,MTP701BLKLAR449,T-shirt,P701,LAR,BLK,449,40
02-08-2026,MTOR17BLK2XL379,T-shirt,OR17,2XL,BLK,379,5
02-08-2026,BPB167NYB14Y669,Trackpants,B167,14Y,NYB,669,12
02-08-2026,BPB167NYB12Y669,Trackpants,B167,12Y,NYB,669,12
02-08-2026,BPB167NYB10Y669,Trackpants,B167,10Y,NYB,669,6
02-08-2026,BPB167NYB08Y669,Trackpants,B167,08Y,NYB,669,6
02-08-2026,BPB167KHI14Y669,Trackpants,B167,14Y,KHI,669,12
02-08-2026,BPB167KHI12Y669,Trackpants,B167,12Y,KHI,669,12
02-08-2026,BPB167KHI10Y669,Trackpants,B167,10Y,KHI,669,6
02-08-2026,BPB167KHI08Y669,Trackpants,B167,08Y,KHI,669,6
